time,X,Y
0.216,-2.7480029091766242e-05,-2.6617877635911058e-05
0.22,-1.1825357078443046e-05,-1.2247355662527927e-05
0.224,-1.0246534718276058e-06,-9.38806379111839e-06
0.228,-1.3456573822095033e-06,-1.203755386854325e-05
0.232,-1.4143958991880154e-05,-1.6073274874963093e-05
0.236,-2.8238413059477365e-05,-2.2346710763578574e-05
0.24,-2.260275545946173e-05,-1.9919111394280766e-05
0.244,-2.8936018951319422e-06,-9.439401051684178e-06
0.248,4.562050925891438e-06,-6.827990981235846e-06
0.252,-4.799705094059517e-06,-1.0796967290131747e-05
0.256,-1.2010815525813034e-05,-6.63134860041647e-06
0.26,-5.2193466988553025e-06,4.956912409905126e-06
0.264,4.6003361062035786e-06,8.193115322371708e-06
0.268,-2.4603174046895924e-06,-8.159095098706031e-06
0.272,-2.3367901013759366e-05,-3.369972927699621e-05
0.276,-3.1939884373670006e-05,-4.1030620478545305e-05
0.28,-2.1661441150592573e-05,-2.34699755411087e-05
0.284,-1.4074174263511925e-05,-8.386086467813006e-06
0.288,-1.62689808132641e-05,-1.065373872654468e-05
0.292,-1.0757508436261868e-05,-7.625229239793444e-06
0.296,1.0030755331253856e-05,1.690381849475078e-05
0.3,2.9999999999999974e-05,4.0999999999999967e-05
0.304,3.0486659870240202e-05,3.9101743576590516e-05
0.308,1.3744453915551648e-05,2.0943623187885864e-05
0.312,5.589806923127736e-07,1.282267762345763e-05
0.316,2.6907361983404735e-06,1.813173345452811e-05
0.32,1.4102536624465234e-05,2.5184505874114196e-05
0.324,2.9772878904745416e-05,3.546831181024087e-05
0.328,4.443871526602453e-05,4.8605428062051e-05
0.332,4.451647108120566e-05,4.6929247317948704e-05
0.336,2.894207632409741e-05,2.625371855241993e-05
0.34,1.103934874368824e-05,2.2496122533886732e-06
0.344,-6.054705778588503e-06,-2.154238006891026e-05
0.348,-1.7700030357591908e-05,-4.231552604340211e-05
0.352,-8.309960408600509e-06,-4.004347588196805e-05
0.356,1.2117305260054238e-05,-1.6486736034839025e-05
0.36,1.5326554920413035e-05,2.965403364048346e-07
0.364,7.732010809309075e-06,8.0900059853815e-06
0.368,1.0726592803400518e-05,2.0063772294463336e-05
0.372,1.365432227385911e-05,2.313635809828331e-05
0.376,3.831146033132812e-06,8.581887284248105e-06
0.38,-6.308377591227852e-06,-4.409081895025292e-06
0.384,-1.041453977452131e-05,-6.686770960268151e-06
0.388,-1.1865193993472854e-05,-3.1261977544209215e-06
0.392,-3.7043666419227717e-06,1.123474335574508e-05
0.396,1.599047630568966e-05,3.3770727342445384e-05
0.4,3.800000000000001e-05,4.9999999999999996e-05
0.404,5.848394648531285e-05,6.0120854268620585e-05
0.408,7.334926761984904e-05,7.061663870422109e-05
0.412,8.017202347925637e-05,8.0645664770532e-05
0.416,9.029127234150869e-05,9.308946827891151e-05
0.42,0.00010071981905220663,0.00010020171429862109
0.424,8.620001784203614e-05,8.085733322169485e-05
0.428,4.9949901387623734e-05,4.413807581689769e-05
0.432,2.2080709116499802e-05,1.9743011003125213e-05
0.436,6.2684294819347454e-06,4.207019128257663e-06
0.44,-6.062170307172105e-06,-1.530627930144743e-05
0.444,-6.672312677619501e-06,-2.399165080818928e-05
0.448,-3.146583493007383e-06,-2.0238676490094575e-05
0.452,-1.4631990521669358e-05,-2.5289964823777578e-05
0.456,-2.683102026382572e-05,-3.56403051096789e-05
0.46,-2.152111352496089e-05,-3.613529705248818e-05
0.464,-1.4401520526933724e-05,-3.295688698243498e-05
0.468,-1.3596847153504854e-05,-2.785904989390718e-05
0.472,-7.415384622793762e-06,-1.6394423068178888e-05
0.476,-4.7282831131267425e-06,-1.4270042343379725e-05
0.48,-1.555463860609055e-05,-2.6136477719011856e-05
0.484,-2.1850295698583162e-05,-2.9771186464316843e-05
0.488,-1.8817309987783577e-05,-2.5974058013345923e-05
0.492,-2.5654313006489633e-05,-3.4387549094547745e-05
0.496,-3.896348112925168e-05,-4.391713068974585e-05
0.5,-4.0999999999999994e-05,-3.9e-05
0.504,-3.753155879059006e-05,-3.5895342410486515e-05
0.508,-3.9324523226461396e-05,-4.4408687770455604e-05
0.512,-4.035197659624287e-05,-4.9988184670006924e-05
0.516,-3.4275016195959165e-05,-4.7604255342701356e-05
0.52,-2.353373737791575e-05,-4.386945402757881e-05
0.524,-1.621470748233869e-05,-4.0022269072092255e-05
0.528,-1.885517225690683e-05,-3.53561607260711e-05
0.532,-2.0188708498142567e-05,-2.3816256106693775e-05
0.536,-5.5965385323331475e-06,8.546805460577346e-07
0.54,1.1815444534534762e-05,2.3777582466580714e-05
0.544,1.4860212951108395e-05,2.8929714895475314e-05
0.548,1.2808691882934937e-05,2.8298894766651592e-05
0.552,1.2768225529997927e-05,3.149121583451634e-05
0.556,7.455390635785988e-06,2.578913374312605e-05
0.56,3.2519227756775805e-06,1.2685702252058484e-05
0.564,9.049035539457383e-06,1.181601272438965e-05
0.568,1.745099165460644e-05,2.4381511274583484e-05
0.572,2.767610928697014e-05,3.592387351393081e-05
0.576,4.063946936107659e-05,3.873202580276493e-05
0.58,3.724345830762879e-05,3.1076541616431316e-05
0.584,1.3367160473548108e-05,1.7336584533018005e-05
0.588,-4.128727327253435e-06,5.771174455117211e-06
0.592,-4.966208873608459e-06,-2.6577591710741065e-06
0.596,1.0959953264951633e-06,-4.74035806458811e-06
0.6,1.6999999999999993e-05,8.999999999999988e-06
0.604,3.750503717548088e-05,2.932546074488933e-05
0.608,4.024710777824313e-05,3.5391192633928334e-05
0.612,2.8217130440757175e-05,3.119259694921945e-05
0.616,2.56771719002392e-05,3.556078248158835e-05
0.62,3.782105099859577e-05,5.207894989647402e-05
0.624,5.506178015712418e-05,7.323547818129007e-05
0.628,6.699516108116367e-05,8.760896257260499e-05
0.632,6.614435418548389e-05,8.711038537538008e-05
0.636,6.541222259266478e-05,8.575477575799482e-05
0.64,7.762690304994863e-05,9.746688035896309e-05
0.644,7.80632683384584e-05,0.00010147683788881305
0.648,4.851050022844793e-05,8.03556789618303e-05
0.652,2.166416981223272e-05,5.718863437040214e-05
0.656,2.2398737013315213e-05,5.101556646943917e-05
0.66,3.117333744338779e-05,5.1590409066930976e-05
0.664,3.5614465875080336e-05,5.506478272891912e-05
0.668,4.129020549461107e-05,6.371233389793231e-05
0.672,4.039949010041284e-05,6.575653829064604e-05
0.676,3.226767449482879e-05,5.939258387764336e-05
0.68,3.35959988247506e-05,5.65807183779145e-05
0.684,3.919066012375693e-05,5.139460369077026e-05
0.688,3.0084753748234294e-05,3.598978410095004e-05
0.692,1.635134172946661e-05,2.93849568017908e-05
0.696,1.8480566131000876e-05,4.492531629404929e-05
0.7,3.100000000000003e-05,6.400000000000002e-05
0.704,3.9384574539985474e-05,6.946461771436842e-05
0.708,4.4166221750342044e-05,6.923133813118321e-05
0.712,5.184656344488841e-05,7.495713796677434e-05
0.716,5.918858210468641e-05,8.07337228249339e-05
0.72,5.2747547016196217e-05,7.048950764130675e-05
0.724,2.738617534932848e-05,4.378554312031831e-05
0.728,2.976327821457717e-06,2.2680758122019897e-05
0.732,3.038251724032878e-06,2.0733853685144425e-05
0.736,2.0511464039344362e-05,2.5473820254394157e-05
0.74,2.986017610640328e-05,2.5404650213403504e-05
0.744,2.3296787005783654e-05,2.3902275699353903e-05
0.748,1.0575363656890657e-05,1.955540869217161e-05
0.752,-2.6378314618368436e-06,6.296879371997929e-06
0.756,-1.530946984890414e-05,-1.0119755804335988e-05
0.76,-2.3435238527696528e-05,-2.0935565351651824e-05
0.764,-2.4865880141474408e-05,-2.6988244192393082e-05
0.768,-2.250471993042396e-05,-3.1963638116900844e-05
0.772,-2.09328496985266e-05,-3.877948606629415e-05
0.776,-2.4366192602057255e-05,-4.8341595517324706e-05
0.78,-2.926699393308557e-05,-5.189037357003575e-05
0.784,-2.315184518573165e-05,-4.128584265797486e-05
0.788,-8.516530711895386e-06,-2.790829732486562e-05
0.792,-1.0426542715191767e-05,-2.9757246775935654e-05
0.796,-3.6681636379926806e-05,-4.65141839107021e-05
0.8,-6.1000000000000026e-05,-6.4e-05
0.804,-6.475868943783792e-05,-7.044159522178318e-05
0.808,-5.40634898911901e-05,-6.092718841142908e-05
0.812,-3.3185906083928835e-05,-4.1344926314020595e-05
0.816,-9.75250990661256e-06,-2.872008082092248e-05
0.82,-7.738195215976816e-06,-3.476155677585385e-05
0.824,-2.846629346356675e-05,-4.9667310443792544e-05
0.828,-3.53177718073643e-05,-5.076812878190708e-05
0.832,-1.2607987731676838e-05,-3.1636961287527064e-05
0.836,8.147776604359805e-06,-1.4239137144097933e-05
0.84,2.376228037331775e-06,-1.705314452950561e-05
0.844,-1.4907437840426695e-05,-2.6309177549997086e-05
0.848,-2.1647424902889465e-05,-2.4690729649429234e-05
0.852,-1.661444507802624e-05,-2.0597508976070305e-05
0.856,-1.0230300606759203e-05,-2.1031693633387733e-05
0.86,-1.0306834718324421e-05,-1.7403526308018403e-05
0.864,-1.6711789166606364e-05,-1.3248221552411765e-05
0.868,-2.0415143527173884e-05,-1.6396819148065775e-05
0.872,-1.4173332670833141e-05,-1.554835503608988e-05
0.876,-5.313203607361324e-06,-8.720419171140008e-06
0.88,-4.696492007364454e-06,-1.260994817323465e-05
0.884,-9.120448994603276e-06,-2.1954713249549293e-05
0.888,-1.2462003361297867e-05,-2.1720634828425825e-05
0.892,-1.9625004753486578e-05,-2.682137471644206e-05
0.896,-3.27936126005747e-05,-4.816346786803211e-05
0.9,-4.399999999999999e-05,-6.3e-05
0.904,-4.6875420712095384e-05,-5.708906381996998e-05
0.908,-3.991269648745426e-05,-4.280994101632771e-05
0.912,-3.1993335066434705e-05,-3.56947899697732e-05
0.916,-4.2725582027690646e-05,-4.7666620398006745e-05
0.92,-6.697252513883836e-05,-7.031103593387454e-05
0.924,-7.130791055304337e-05,-7.266957122430835e-05
0.928,-5.557209850975625e-05,-5.604708635627259e-05
0.932,-5.1654093546984555e-05,-5.2853574372872076e-05
0.936,-5.464098741609912e-05,-5.570049220269704e-05
0.94,-4.387866925981836e-05,-4.099947333669376e-05
0.944,-3.939874196076768e-05,-3.2241850958104564e-05
0.948,-5.220999268437309e-05,-4.542083499966416e-05
0.952,-5.0666446561410076e-05,-4.7906225971251705e-05
0.956,-3.010807418776341e-05,-3.185123164469806e-05
0.96,-2.3931508679745432e-05,-2.903016439660594e-05
0.964,-3.632686101346573e-05,-4.2353636783284854e-05
0.968,-4.474395857934956e-05,-4.987179451697487e-05
0.972,-4.238745184918348e-05,-4.7751874258584564e-05
0.976,-3.5182795399884096e-05,-4.280728550456389e-05
0.98,-3.2035963591058434e-05,-4.063396253586215e-05
0.984,-3.675967449100662e-05,-4.188152113317908e-05
0.988,-3.6185408379271677e-05,-3.6892241268621874e-05
0.992,-2.5828952025673587e-05,-2.9978556476461475e-05
0.996,-2.379146968620017e-05,-4.043175162176624e-05
1.0,-3.199999999999999e-05,-5.799999999999999e-05
1.004,-3.442255685538196e-05,-5.69131621023506e-05
1.008,-3.193859448381032e-05,-4.505680299485497e-05
1.012,-2.951475654168393e-05,-3.938847009967884e-05
1.016,-2.4604991664335802e-05,-3.602191161082417e-05
1.02,-2.5359338553977105e-05,-3.351303229053702e-05
1.024,-3.0487459715484157e-05,-3.0289817139437828e-05
1.028,-2.205453370372243e-05,-1.7508488352968652e-05
1.032,-1.1415579705428402e-05,-1.0588207685618146e-05
1.036,-2.4645357496419778e-05,-3.15976301398525e-05
1.04,-4.78733381237435e-05,-6.252193124811725e-05
1.044,-5.718152119583794e-05,-7.629807294329155e-05
1.048,-5.7345876901226214e-05,-7.519750459693565e-05
1.052,-5.304702209011429e-05,-6.770561124052476e-05
1.056,-4.4426182859836686e-05,-6.021694909103365e-05
1.06,-4.210455599651628e-05,-6.092749899052309e-05
1.064,-4.2175870415172015e-05,-6.07339742098033e-05
1.068,-3.2948343876319886e-05,-5.1495387895920354e-05
1.072,-2.7783080087979364e-05,-4.948187814176835e-05
1.076,-3.5162345576587033e-05,-5.626911942998482e-05
1.08,-3.7441588777151975e-05,-5.157225165210443e-05
1.084,-3.331668612033839e-05,-4.292311179016298e-05
1.088,-3.8046945594646754e-05,-4.942269951632242e-05
1.092,-4.2831192007408566e-05,-5.668224000562194e-05
1.096,-3.185151791364874e-05,-4.980363473162161e-05
1.1,-1.4999999999999983e-05,-4.400000000000001e-05
1.104,-1.0962000150993981e-05,-5.004610331058492e-05
1.108,-2.1996844319814206e-05,-5.770834852414902e-05
1.112,-3.4131307936531155e-05,-5.8344762357438614e-05
1.116,-3.709954766536941e-05,-5.527300905227167e-05
1.12,-3.945891012512819e-05,-5.561129461290518e-05
1.124,-4.685837919770331e-05,-5.681606386063698e-05
1.128,-4.6359645908907524e-05,-5.034715819542783e-05
1.132,-3.758944476270653e-05,-4.5065064072333075e-05
1.136,-3.7916247021994644e-05,-5.668089077137036e-05
1.14,-4.6669142634181616e-05,-7.4521988900584e-05
1.144,-5.2221856414167895e-05,-7.880247315796174e-05
1.148,-5.3735877347809494e-05,-7.030168524559044e-05
1.152,-4.348921218507905e-05,-5.3333838691244884e-05
1.156,-1.5850519650851574e-05,-2.8550225837799676e-05
1.16,4.244908034579e-06,-9.813452428576639e-06
1.164,-3.7125851031395306e-06,-7.938059647692851e-06
1.168,-1.959201370492765e-05,-1.1886324651160011e-05
1.172,-1.9072550371372113e-05,-8.960844792295531e-06
1.176,-6.8409434531733825e-06,-1.0947876066797836e-06
1.18,-6.664400121366611e-07,6.59825875952572e-07
1.184,-1.0696081949989191e-05,-1.4279741731518513e-05
1.188,-3.03943624123806e-05,-4.142717174088249e-05
1.192,-4.2663368529531396e-05,-6.140305366982959e-05
1.196,-3.909882739791723e-05,-6.13331473233242e-05
1.2,-2.3999999999999967e-05,-4.3999999999999985e-05
1.204,-9.22791198962826e-06,-2.5213349429265437e-05
1.208,-9.259452395194359e-06,-2.4499807511281025e-05
1.212,-2.0023510404928606e-05,-3.8473915949254434e-05
1.216,-2.1150710130692408e-05,-4.377700470986509e-05
1.22,-1.414871639363624e-05,-3.807501076176578e-05
1.224,-1.4880171376238377e-05,-3.6457259856923265e-05
1.228,-1.7996067767836232e-05,-3.914802001755572e-05
1.232,-1.8411169741282987e-05,-4.451541805602013e-05
1.236,-2.7139504806916373e-05,-5.6164142201533175e-05
1.24,-3.7643099712953455e-05,-6.207394608838735e-05
1.244,-3.5615127376623284e-05,-5.550657290362582e-05
1.248,-3.1510028095796294e-05,-5.245666002576057e-05
1.252,-3.2462782658066166e-05,-5.495115967050124e-05
1.256,-2.6670148005637393e-05,-4.95828389268267e-05
1.26,-1.5757374970792475e-05,-4.124120609366934e-05
1.264,-1.151574732247669e-05,-3.8664642940757316e-05
1.268,-1.7417630234235997e-05,-4.208929170006133e-05
1.272,-3.7238795044200435e-05,-5.8879704571411424e-05
1.276,-6.041699491532177e-05,-8.169345835981948e-05
1.28,-5.745710955850299e-05,-8.454864196079869e-05
1.284,-3.0458627610332647e-05,-7.277138120210353e-05
1.288,-1.8232334076485457e-05,-7.283418215803151e-05
1.292,-3.383705817274861e-05,-7.987375912874477e-05
1.296,-5.0694478177316726e-05,-7.655855056762241e-05
1.3,-4.4999999999999996e-05,-6.400000000000002e-05
1.304,-2.3483107999024127e-05,-4.9388006717703e-05
1.308,-1.6453272170106747e-05,-4.5929210833249303e-05
1.312,-3.434239091116122e-05,-6.081358327366122e-05
1.316,-4.759766675702798e-05,-7.097414987749792e-05
1.32,-4.073485925699608e-05,-6.224397382356281e-05
1.324,-3.4798926387963114e-05,-5.571172755275333e-05
1.328,-3.737606784586619e-05,-5.852794666084636e-05
1.332,-4.400907082791923e-05,-6.356860143130893e-05
1.336,-6.444884812102726e-05,-8.236762535020766e-05
1.34,-8.423862448470813e-05,-0.0001026021305717666
1.344,-7.587090499461523e-05,-9.152427126543112e-05
1.348,-6.513042957311132e-05,-7.410968216641368e-05
1.352,-8.191131236849025e-05,-8.904323016868734e-05
1.356,-9.244794481822183e-05,-0.00010412789658159095
1.36,-7.486108572513963e-05,-9.036576835968719e-05
1.364,-6.357513294629234e-05,-8.170468547659656e-05
1.368,-7.059817518389928e-05,-9.287999114481703e-05
1.372,-7.423671445652722e-05,-9.882262263938142e-05
1.376,-7.237655966524317e-05,-9.607484339770107e-05
1.38,-6.504985023016152e-05,-8.871301168579489e-05
1.384,-4.6195779533005834e-05,-7.062479755410023e-05
1.388,-3.7375346320478304e-05,-5.9990854211586265e-05
1.392,-5.1063028008141e-05,-7.023171384604217e-05
1.396,-5.4120681125278436e-05,-7.121823318902506e-05
1.4,-2.9999999999999974e-05,-4.699999999999995e-05
1.404,-7.689270673195253e-06,-2.6500251509228128e-05
1.408,-1.4724832324635547e-06,-2.4847808367894203e-05
1.412,3.168514920507729e-06,-2.6996116194007883e-05
1.416,8.470052828627229e-06,-2.6826726469082827e-05
1.42,4.428832502376689e-06,-3.1245132019817804e-05
1.424,-1.0802716597283424e-05,-4.498232426006335e-05
1.428,-3.3672728753465646e-05,-6.721570408436752e-05
1.432,-5.5258272719118445e-05,-8.517796105023184e-05
1.436,-6.189386305965552e-05,-8.479696826671334e-05
1.44,-5.5000082605862426e-05,-7.505222633437671e-05
1.444,-5.4449825629251246e-05,-7.657782107707263e-05
1.448,-6.771819625045597e-05,-9.010064859214979e-05
1.452,-7.623018974403466e-05,-9.873505319216502e-05
1.456,-6.780004206802073e-05,-9.45121711980488e-05
1.46,-5.908710823656629e-05,-8.786100541750587e-05
1.464,-6.381000679696585e-05,-8.94716139583978e-05
1.468,-6.502157066536385e-05,-9.041552367689217e-05
1.472,-4.6086554459242034e-05,-7.522842706170962e-05
1.476,-2.008982748941267e-05,-4.9752177866686095e-05
1.48,-3.9989450968764886e-06,-3.097095556475324e-05
1.484,3.5477287569436197e-06,-1.9499338333055935e-05
1.488,3.324511399940603e-06,-1.1436743480806138e-05
1.492,-8.573466903962927e-06,-1.568957403449189e-05
1.496,-2.046823718462696e-05,-3.065738580028452e-05
1.5,-1.799999999999999e-05,-3.5999999999999994e-05
1.504,-1.1257360943261364e-05,-2.750305405321431e-05
1.508,-1.467535807999704e-05,-2.1440423101600523e-05
1.512,-1.9884175735475544e-05,-2.2620954567707004e-05
1.516,-1.8372825507094092e-05,-2.7237817153806555e-05
1.52,-1.891389765198508e-05,-3.799764324584847e-05
1.524,-2.4516292469523718e-05,-4.938671837468578e-05
1.528,-3.0835789619395225e-05,-5.3406884053308935e-05
1.532,-4.120594508039631e-05,-5.833792208067859e-05
1.536,-4.715192837393231e-05,-6.302066008313492e-05
1.54,-3.210266800202227e-05,-5.2597126252708786e-05
1.544,-1.3398491731397921e-05,-4.1918254699396117e-05
1.548,-1.6607057758378452e-05,-5.1055143914929675e-05
1.552,-2.4831913768381416e-05,-5.5247798027904976e-05
1.556,-2.475209484462312e-05,-4.164332858264938e-05
1.56,-3.936979958970746e-05,-4.613233965655527e-05
1.564,-6.140520842448375e-05,-7.093293155727542e-05
1.568,-5.51042233237471e-05,-7.588323066678723e-05
1.572,-3.4524645152281116e-05,-6.529260437778124e-05
1.576,-3.0112698996489426e-05,-6.436891517084944e-05
1.58,-2.6736556135995545e-05,-6.002737920533061e-05
1.584,-2.2065623992095258e-05,-5.51269209687531e-05
1.588,-4.4124909941401504e-05,-7.69080176439816e-05
1.592,-6.936152326827668e-05,-9.823663800504777e-05
1.596,-5.040752260222739e-05,-7.631986401003963e-05
1.6,-1.3000000000000004e-05,-3.9999999999999956e-05
1.604,-5.902380569516633e-06,-2.897702164084716e-05
1.608,-9.79734281250394e-06,-2.185071638750422e-05
1.612,1.1107622242132959e-05,3.455938202915096e-06
1.616,3.78048196253064e-05,2.4558761400939504e-05
1.62,4.003925659625207e-05,2.409972938467244e-05
1.624,3.17881713801912e-05,1.914822461647336e-05
1.628,4.119180921041209e-05,2.8793032389270994e-05
1.632,6.114735734103192e-05,4.4183946067377515e-05
1.636,6.479775124614935e-05,4.4149283622292366e-05
1.64,5.353677971536139e-05,3.3331537257357014e-05
1.644,5.366334108002572e-05,3.687666632000642e-05
1.648,7.283613362674237e-05,5.7259574622956905e-05
1.652,9.255090023459942e-05,7.333736011178953e-05
1.656,9.721897173277768e-05,7.522396369939872e-05
1.66,9.070809876686037e-05,7.044495520004615e-05
1.664,8.842669958017593e-05,6.960579333321795e-05
1.668,9.489013857160407e-05,7.506064018252475e-05
1.672,9.585502929169938e-05,7.59853522675384e-05
1.676,8.456429037321802e-05,6.573607218600522e-05
1.68,7.265811837677357e-05,5.2232935725570945e-05
1.684,6.479451265812315e-05,3.728050259768006e-05
1.688,5.713499813555047e-05,1.8831780448771957e-05
1.692,5.299235502634955e-05,8.445695779950732e-06
1.696,4.936726910683035e-05,8.842911854190623e-06
1.7,4e-05,1.0000000000000013e-05
1.704,3.7858625404835025e-05,1.9559167745148464e-05
1.708,4.7173714957386274e-05,3.647796310798756e-05
1.712,4.389673508549154e-05,2.99804893767337e-05
1.716,2.7184998430639735e-05,4.7159970841348005e-06
1.72,2.6173706641763175e-05,2.976359498061027e-06
1.724,3.59208370755911e-05,1.5928886740049787e-05
1.728,2.7191159731111836e-05,5.742427746002008e-06
1.732,9.629637184347737e-06,-9.101507314197497e-06
1.736,1.0980305955956444e-05,7.268160773126961e-07
1.74,2.422643941482881e-05,1.286108119315663e-05
1.744,2.5535012093635614e-05,6.2045550474425704e-06
1.748,1.1112166971021127e-05,-7.447969196650523e-06
1.752,-5.799406557073256e-06,-2.0418138033347698e-05
1.756,-1.2947663919822875e-05,-2.9741857897846382e-05
1.76,-1.0917755929288086e-05,-2.9436004746098656e-05
1.764,-1.0779360841282576e-05,-3.100898882300711e-05
1.768,-1.6797900278170767e-05,-4.371409962748579e-05
1.772,-2.041033062258085e-05,-4.873508705653821e-05
1.776,-1.4923917521484038e-05,-3.603275579977452e-05
1.78,-7.449110550924218e-06,-2.588605606291857e-05
1.784,-1.0922402440893672e-05,-3.0475408268580553e-05
1.788,-2.2108426586982185e-05,-3.746897898094135e-05
1.792,-1.9744027329592165e-05,-3.531997235438323e-05
1.796,1.5726880773331633e-07,-2.790387076042828e-05
1.8,9.999999999999992e-06,-2.899999999999999e-05
1.804,-5.690398970739974e-06,-4.5091783608525926e-05
1.808,-2.4922432021439984e-05,-6.238814388414735e-05
1.812,-2.9097773728263597e-05,-6.704185153455474e-05
1.816,-3.0632272589953276e-05,-6.802228774364049e-05
1.82,-4.0579502570567755e-05,-7.597790795919856e-05
1.824,-4.7258911287794934e-05,-8.202172240135173e-05
1.828,-4.281222636908762e-05,-7.937501312120926e-05
1.832,-3.74592383684532e-05,-7.698645199291388e-05
1.836,-3.848568631739775e-05,-7.922143457996473e-05
1.84,-4.334969723266153e-05,-8.011722198197758e-05
1.844,-5.044479860939211e-05,-7.780511710310626e-05
1.848,-5.377421427371691e-05,-7.41298415318352e-05
1.852,-4.5630214622942616e-05,-7.006834821569519e-05
1.856,-3.622334620761394e-05,-6.807493235349554e-05
1.86,-3.774576437847768e-05,-6.473748258719418e-05
1.864,-3.728726646760984e-05,-5.217258934976726e-05
1.868,-2.3260592857414966e-05,-3.621854883879395e-05
1.872,-8.38807463345543e-06,-2.8292596314328157e-05
1.876,-2.0799340004346993e-06,-2.532153640287447e-05
1.88,-9.18727252865859e-07,-2.377607399968454e-05
1.884,4.110465359624454e-07,-2.385073681529313e-05
1.888,1.611072688244041e-05,-1.1302642483999228e-05
1.892,4.393580913811536e-05,1.4329988944901239e-05
1.896,4.5648433553803136e-05,1.981779218389686e-05
1.9,1.5000000000000022e-05,-2.168404344971009e-20
1.904,-5.260956722505893e-07,-7.339925628877817e-06
1.908,9.002835112268864e-06,2.52745374926065e-06
1.912,1.1392635231439104e-05,4.34279793869789e-06
1.916,1.1966936864248657e-05,4.244236628852794e-06
1.92,2.1760447940082584e-05,8.832013130165411e-06
1.924,1.7454245365644573e-05,1.1961652767087609e-06
1.928,8.325842255349438e-06,-6.156019745509253e-06
1.932,2.442086502051001e-05,5.840922950845861e-06
1.936,3.7766947891047084e-05,8.457196168186027e-06
1.94,2.0488510358460318e-05,-1.221789592378158e-05
1.944,5.74864238919144e-06,-2.1903200963264408e-05
1.948,6.209446901565383e-06,-1.7512742828806944e-05
1.952,-7.703801198023906e-06,-2.6969768495030066e-05
1.956,-2.8336069401058598e-05,-4.062821982072538e-05
1.96,-2.554172020919681e-05,-3.898742448493506e-05
1.964,-6.7780801958455165e-06,-3.110561914059534e-05
1.968,5.335460903768585e-06,-2.3426283683775952e-05
1.972,2.7547093635749904e-06,-1.8814806645070648e-05
1.976,-8.689922001100751e-06,-2.716156062173334e-05
1.98,-8.518627563333823e-06,-3.649907936145776e-05
1.984,9.54427428234924e-06,-2.946774559104512e-05
